WKRCF,y,3.89,20170517
WKRCF,p,23.7,20170517
WKRCF,k,26.18,20170517
WKRCF,j,13.9,20170517
WKRCF,k5,-11.0,20170517
WKRCF,j6,67.63,20170517
WKRCF,e,0.88,20170517
WKRCF,b4,16.91,20170517
WKRCF,p5,1.12,20170517
WKRCF,p6,1.4,20170517
WKRCF,r,26.36,20170517
WKRCF,m6,29.51,20170517
WKRCF,m8,-0.06,20170517
WKRCF,d,0.56,20170517
WLFDY,y,1.03,20170517
WLFDY,p,4.34,20170517
WLFDY,k,5.49,20170517
WLFDY,j,4.34,20170517
WLFDY,k5,-20.95,20170517
WLFDY,j6,0.0,20170517
WLFDY,e,-0.56,20170517
WLFDY,b4,2.75,20170517
WLFDY,p5,0.64,20170517
WLFDY,p6,1.58,20170517
WLFDY,m6,-10.59,20170517
WLFDY,m8,-10.55,20170517
WLFDY,d,0.04,20170517
WLG.L,p,317.5,20170517
WLG.L,k,325.0,20170517
WLG.L,j,160.0,20170517
WLG.L,k5,-4.62,20170517
WLG.L,j6,93.75,20170517
WLG.L,e,125.6,20170517
WLG.L,e7,10.4,20170517
WLG.L,m6,21.37,20170517
WLG.L,m8,-1.17,20170517
WLK,y,1.24,20170517
WLK,p,63.71,20170517
WLK,k,68.08,20170517
WLK,j,39.48,20170517
WLK,k5,-9.64,20170517
WLK,j6,55.83,20170517
WLK,e,3.18,20170517
WLK,e7,4.34,20170517
WLK,e8,4.7,20170517
WLK,t8,72.33,20170517
WLK,b4,28.36,20170517
WLK,p5,1.36,20170517
WLK,p6,2.25,20170517
WLK,r,19.35,20170517
WLK,r5,1.84,20170517
WLK,r6,14.18,20170517
WLK,r7,13.09,20170517
WLK,m6,1.04,20170517
WLK,m8,-3.8,20170517
WLK,d,0.76,20170517
WLKP,y,5.72,20170517
WLKP,p,25.15,20170517
WLKP,k,26.25,20170517
WLKP,j,18.73,20170517
WLKP,k5,-5.33,20170517
WLKP,j6,32.67,20170517
WLKP,e,1.43,20170517
WLKP,e7,1.51,20170517
WLKP,e8,1.44,20170517
WLKP,t8,28.67,20170517
WLKP,b4,12.76,20170517
WLKP,p5,0.67,20170517
WLKP,p6,1.97,20170517
WLKP,r,17.41,20170517
WLKP,r5,0.27,20170517
WLKP,r6,16.46,20170517
WLKP,r7,17.26,20170517
WLKP,m6,6.09,20170517
WLKP,m8,-1.09,20170517
WLKP,d,1.42,20170517
WLMIF,y,2.38,20170517
WLMIF,p,2.66,20170517
WLMIF,k,2.84,20170517
WLMIF,j,2.19,20170517
WLMIF,k5,-6.34,20170517
WLMIF,j6,21.46,20170517
WLMIF,e,0.15,20170517
WLMIF,b4,2.29,20170517
WLMIF,p5,0.41,20170517
WLMIF,p6,1.16,20170517
WLMIF,r,17.27,20170517
WLMIF,m6,4.1,20170517
WLMIF,m8,5.89,20170517
WLMIF,d,0.06,20170517
WLTW,y,1.49,20170517
WLTW,p,142.65,20170517
WLTW,k,146.3,20170517
WLTW,j,112.76,20170517
WLTW,k5,-3.6,20170517
WLTW,j6,25.07,20170517
WLTW,e,3.8,20170517
WLTW,e7,8.59,20170517
WLTW,e8,9.82,20170517
WLTW,t8,150.94,20170517
WLTW,b4,75.9,20170517
WLTW,p5,2.46,20170517
WLTW,p6,1.88,20170517
WLTW,r,37.09,20170517
WLTW,r5,1.55,20170517
WLTW,r6,16.42,20170517
WLTW,r7,14.36,20170517
WLTW,m6,10.81,20170517
WLTW,m8,5.7,20170517
WLTW,d,2.12,20170517
WLWHY,y,3.81,20170517
WLWHY,p,5.5,20170517
WLWHY,k,7.15,20170517
WLWHY,j,4.51,20170517
WLWHY,k5,-26.01,20170517
WLWHY,j6,17.29,20170517
WLWHY,e,0.41,20170517
WLWHY,b4,1.49,20170517
WLWHY,p5,1.04,20170517
WLWHY,p6,3.7,20170517
WLWHY,r,12.93,20170517
WLWHY,m6,-0.26,20170517
WLWHY,m8,-2.52,20170517
WLWHY,d,0.2,20170517
WM,y,2.36,20170517
WM,p,71.25,20170517
WM,k,74.58,20170517
WM,j,60.41,20170517
WM,k5,-4.81,20170517
WM,j6,17.51,20170517
WM,e,2.74,20170517
WM,e7,3.18,20170517
WM,e8,3.47,20170517
WM,t8,76.56,20170517
WM,b4,12.48,20170517
WM,p5,2.27,20170517
WM,p6,5.71,20170517
WM,r,25.9,20170517
WM,r5,2.18,20170517
WM,r6,22.32,20170517
WM,r7,20.46,20170517
WM,m6,0.14,20170517
WM,m8,-2.46,20170517
WM,d,1.7,20170517
WMB,y,3.96,20170517
WMB,p,30.62,20170517
WMB,k,32.69,20170517
WMB,j,19.6,20170517
WMB,k5,-7.56,20170517
WMB,j6,54.18,20170517
WMB,e,0.01,20170517
WMB,e7,0.99,20170517
WMB,e8,0.99,20170517
WMB,t8,33.28,20170517
WMB,b4,10.22,20170517
WMB,p5,3.23,20170517
WMB,p6,3.0,20170517
WMB,r,2014.67,20170517
WMB,r5,3.11,20170517
WMB,r6,30.53,20170517
WMB,r7,30.53,20170517
WMB,m6,1.89,20170517
WMB,m8,0.06,20170517
WMB,d,1.2,20170517
WMC,y,12.54,20170517
WMC,p,10.01,20170517
WMC,k,11.18,20170517
WMC,j,8.71,20170517
WMC,k5,-11.1467,20170517
WMC,j6,14.0505,20170517
WMC,e,0.748,20170517
WMC,e7,1.21,20170517
WMC,e8,1.26,20170517
WMC,t8,10.0,20170517
WMC,b4,10.451,20170517
WMC,p5,7.638,20170517
WMC,p6,0.9578,20170517
WMC,r,13.2805,20170517
WMC,r5,1.66,20170517
WMC,r6,8.2098,20170517
WMC,r7,7.884,20170517
WMC,m6,-2.9902,20170517
WMC,m8,-2.0171,20170517
WMC,d,1.24,20170517
WMGIZ,p,1.4,20170517
WMGIZ,k,2.67,20170517
WMGIZ,j,1.2,20170517
WMGIZ,k5,-47.5618,20170517
WMGIZ,j6,16.675,20170517
WMGIZ,b4,0.0,20170517
WMGIZ,r5,0.0,20170517
WMGIZ,m6,-3.063,20170517
WMGIZ,m8,-6.3748,20170517
WMH.L,p,288.0,20170517
WMH.L,k,353.6,20170517
WMH.L,j,235.5,20170517
WMH.L,k5,-18.27,20170517
WMH.L,j6,22.72,20170517
WMH.L,e,18.8,20170517
WMH.L,e7,24.21,20170517
WMH.L,b4,1.43,20170517
WMH.L,p5,153.82,20170517
WMH.L,p6,201.26,20170517
WMH.L,r,15.37,20170517
WMH.L,r5,1.86,20170517
WMH.L,r6,11.94,20170517
WMH.L,r7,11.18,20170517
WMH.L,m6,1.1,20170517
WMH.L,m8,-1.97,20170517
WMK,y,2.22,20170517
WMK,p,53.92,20170517
WMK,k,68.88,20170517
WMK,j,46.1,20170517
WMK,k5,-22.76,20170517
WMK,j6,15.4,20170517
WMK,e,2.93,20170517
WMK,e7,,20170517
WMK,t8,31.0,20170517
WMK,b4,34.45,20170517
WMK,p5,0.45,20170517
