symbol,country,exchange,name,notes
OTEC,norway,XOSL,OTELLO CORPORATION,
OTL,norway,XOSL,ODFJELL TECHNOLOGY,
OTOVO,norway,XOSL,OTOVO,
PARB,norway,XOSL,PARETO BANK,
PEN,norway,XOSL,PANORO ENERGY,
PEXIP,norway,XOSL,PEXIP HOLDING,
PHO,norway,XOSL,PHOTOCURE,
PLSV,norway,XOSL,PARATUS ENERGY SER,
PLT,norway,XOSL,POLIGHT,
PNOR,norway,XOSL,PETRONOR E&P,
POL,norway,XOSL,POLARIS MEDIA,
PROT,norway,XOSL,PROTECTOR FORSIKRG,
PRS,norway,XOSL,PROSAFE,
PSE,norway,XOSL,PETROLIA,
PUBLI,norway,XOSL,PPI PUBLIC PROP,
QEC,norway,XOSL,QUESTERRE ENERGY,
REACH,norway,XOSL,REACH SUBSEA,
RING,norway,XOSL,SPBK1 RINGERIKE,
ROGS,norway,XOSL,ROGALAND SPAREBANK,
SAGA,norway,XOSL,SAGA PURE,
SALM,norway,XOSL,SALMAR,
SALME,norway,XOSL,SALMON EVOLUTION,
SATS,norway,XOSL,SATS,
SB1NO,norway,XOSL,SPAREBANK 1 SØR-N,
SBNOR,norway,XOSL,SPAREBANKEN NORGE,
SBO,norway,XOSL,SELVAAG BOLIG,
SCANA,norway,XOSL,SCANA,
SCATC,norway,XOSL,SCATEC,
SDSD,norway,XOSL,S.D. STANDARD ETC,
SKUE,norway,XOSL,SKUE SPAREBANK,
SMOP,norway,XOSL,SMARTOPTICS GROUP,
SNI,norway,XOSL,STOLT-NIELSEN,
SNOR,norway,XOSL,SPBK 1 NORDMØRE,
SNTIA,norway,XOSL,SENTIA,
SOAG,norway,XOSL,SPBK1 ØSTFOLD AKE,
SOFF,norway,XOSL,SOLSTAD OFFSHORE,
SOGN,norway,XOSL,SOGN SPAREBANK,
SOMA,norway,XOSL,SOLSTAD MARITIME,
SPOG,norway,XOSL,SPAREBANKEN ØST,
SPOL,norway,XOSL,SPBK 1 ØSTLANDET,
STB,norway,XOSL,STOREBRAND,
STECH,norway,XOSL,SOILTECH,
STRO,norway,XOSL,STRONGPOINT,
SUBC,norway,XOSL,SUBSEA 7,
SWON,norway,XOSL,SOFTWAREONE HOLD,
TECH,norway,XOSL,TECHSTEP,
TEKNA,norway,XOSL,TEKNA HOLDING,
TEL,norway,XOSL,TELENOR,
TGS,norway,XOSL,TGS,
TIETO,norway,XOSL,TIETOEVRY,
TOM,norway,XOSL,TOMRA SYSTEMS,
TRMED,norway,XOSL,THOR MEDICAL,
TRSB,norway,XOSL,TRØNDELAG SPBK,
VAR,norway,XOSL,VÅR ENERGI,
VEI,norway,XOSL,VEIDEKKE,
VEND,norway,XOSL,VEND MARKETPLACES,
VISTN,norway,XOSL,VISTIN PHARMA,
VOW,norway,XOSL,VOW,
VVL,norway,XOSL,VOSS VEKSEL OGLAND,
WAWI,norway,XOSL,WALLENIUS WILHELMS,
WSTEP,norway,XOSL,WEBSTEP,
WWI,norway,XOSL,WILH. WILHELMSEN A,
WWIB,norway,XOSL,WILH. WILHELMSEN B,
YAR,norway,XOSL,YARA INTERNATIONAL,
ZAL,norway,XOSL,ZALARIS,
ZAP,norway,XOSL,ZAPTEC,
ZLNA,norway,XOSL,ZELLUNA,
